소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
213021089,백운초등학교,남구,152,213021430,운산초등학교,남구,454,19.73913043478261,False,1.261423,학교점 간 직선거리 3km 이하,4
213021089,백운초등학교,남구,152,213021160,대천초등학교,남구,516,19.846153846153847,False,1.276808,학교점 간 직선거리 3km 이하,5
213021089,백운초등학교,남구,152,213021385,용문초등학교,남구,843,23.416666666666668,False,1.393115,학교점 간 직선거리 3km 이하,6
213021089,백운초등학교,남구,152,213021289,분포초등학교,남구,965,23.536585365853657,False,1.40662,학교점 간 직선거리 3km 이하,7
213021089,백운초등학교,남구,152,213021290,석포초등학교,남구,651,20.34375,False,1.549062,학교점 간 직선거리 3km 이하,8
213021089,백운초등학교,남구,152,213021360,오륙도초등학교,남구,467,21.227272727272727,False,1.839404,학교점 간 직선거리 3km 이하,9
213021089,백운초등학교,남구,152,213021180,동천초등학교,남구,260,20.0,False,2.071642,학교점 간 직선거리 3km 이하,10
213021089,백운초등학교,남구,152,213021190,동항초등학교,남구,127,14.11111111111111,True,2.117566,학교점 간 직선거리 3km 이하,11
213021089,백운초등학교,남구,152,213021150,대연초등학교,남구,784,21.77777777777778,False,2.423204,학교점 간 직선거리 3km 이하,12
213021089,백운초등학교,남구,152,213021410,우암초등학교,남구,267,17.8,False,2.770345,학교점 간 직선거리 3km 이하,13
213021089,백운초등학교,남구,152,213021711,용소초등학교,남구,1103,25.651162790697676,False,2.778543,학교점 간 직선거리 3km 이하,14
213021089,백운초등학교,남구,152,216021160,남천초등학교,수영구,929,22.658536585365855,False,2.801592,학교점 간 직선거리 3km 이하,15
213021089,백운초등학교,남구,152,213021370,연포초등학교,남구,1226,23.576923076923077,False,2.870551,학교점 간 직선거리 3km 이하,16
213021213,성천초등학교,남구,122,213021410,우암초등학교,남구,267,17.8,False,0.716788,학교점 간 직선거리 3km 이하,1
213021213,성천초등학교,남구,122,213021370,연포초등학교,남구,1226,23.576923076923077,False,1.294297,학교점 간 직선거리 3km 이하,2
213021213,성천초등학교,남구,122,213021295,성남초등학교,동구,567,20.25,False,1.344981,학교점 간 직선거리 3km 이하,3
213021213,성천초등학교,남구,122,213021180,동천초등학교,남구,260,20.0,False,1.428575,학교점 간 직선거리 3km 이하,4
213021213,성천초등학교,남구,122,213021300,성동초등학교,남구,753,21.514285714285716,False,1.471362,학교점 간 직선거리 3km 이하,5
213021213,성천초등학교,남구,122,213021210,문현초등학교,남구,485,17.962962962962962,False,1.610276,학교점 간 직선거리 3km 이하,6
213021213,성천초등학교,남구,122,213021406,성서초등학교,부산진구,178,13.692307692307692,True,1.818326,학교점 간 직선거리 3km 이하,7
213021213,성천초등학교,남구,122,213021290,석포초등학교,남구,651,20.34375,False,1.849027,학교점 간 직선거리 3km 이하,8
213021213,성천초등학교,남구,122,213021150,대연초등학교,남구,784,21.77777777777778,False,1.962014,학교점 간 직선거리 3km 이하,9
213021213,성천초등학교,남구,122,213021190,동항초등학교,남구,127,14.11111111111111,True,2.104687,학교점 간 직선거리 3km 이하,10
